,name[],type[],vds[V],vsb[V],gmoverid[V^-1],l[m],w[m],id[A],cdb[F],cdep[F],cgb[F],cgd[F],cgg[F],cgs[F],csb[F],cvar[F],fosc[Hz],ft[Hz],gds[S],gm[S],gmbs[S],rds[Ω],region[],self_gain[VV^-01],vbs[V],vdsat[V],vgs[V],vsd[V],vsg[V]
m0,m0,nch,0.2,0.0,20.02,3.0000000000000004e-08,0.00011442786069651741,0.0009999950298457763,4.223383084577115e-14,,9.41e-17,1.8532338308457712e-14,,2.847761194029851e-14,4.74726368159204e-14,,,67778547042.20415,0.002265174129353234,0.02001990049751244,2.922e-05,,3.0,8.838128706347465,-0.0,0.1062,0.35,-0.15,
m1,m1,nch,0.1,0.2,21.87,6.000000000000002e-08,0.00021596244131455398,0.0009999334522605837,,,1.679e-16,3.8140845070422536e-14,,9.671361502347418e-14,8.217840375586855e-14,,,25809209195.16949,0.003571830985915493,0.021868544600938965,2.286e-05,,3.0,6.122502628811776,-0.2,0.1121,0.4,-0.15,
m2,m2,pch,-0.15,-0.0,19.22,6.000000000000002e-08,-8.656379375235228e-05,-0.0010002439906053825,-3.1930748964998116e-14,,,-1.6465939028980052e-14,,-5.551373729770417e-14,-3.7312758750470456e-14,,,42507892774.55694,-0.0013244260444109897,-0.01922468949943545,5.106e-05,,2.0,14.515487354362033,0.0,-0.09333,,0.2,0.45
m3,m3,pch,-0.15,-0.0,19.22,6.000000000000002e-08,-8.656379375235228e-05,-0.0010002439906053825,-3.1930748964998116e-14,,,-1.6465939028980052e-14,,-5.551373729770417e-14,-3.7312758750470456e-14,,,42507892774.55694,-0.0013244260444109897,-0.01922468949943545,5.106e-05,,2.0,14.515487354362033,0.0,-0.09333,,0.2,0.45
