,gds,csb,cgs,cgd,cgg,cgb,capbs,cdb,w,vbs,vsd,l,vsg
37,0.001909,1.03e-15,1.491e-15,1.491e-15,3.029e-15,4.772e-17,9.284e-16,1.03e-15,2.2999999999999996e-06,0.0,0.0,60.0,0.6
38,0.002462,1.033e-15,1.53e-15,1.53e-15,3.102e-15,4.137e-17,9.284e-16,1.033e-15,2.2999999999999996e-06,0.0,0.0,60.0,0.65
39,0.002984,1.035e-15,1.56e-15,1.56e-15,3.157e-15,3.654e-17,9.284e-16,1.035e-15,2.2999999999999996e-06,0.0,0.0,60.0,0.7
40,0.003461,1.037e-15,1.584e-15,1.584e-15,3.2e-15,3.276e-17,9.284e-16,1.037e-15,2.2999999999999996e-06,0.0,0.0,60.0,0.75
41,0.003889,1.038e-15,1.602e-15,1.602e-15,3.234e-15,2.971e-17,9.284e-16,1.038e-15,2.2999999999999996e-06,0.0,0.0,60.0,0.8
42,0.004268,1.039e-15,1.617e-15,1.617e-15,3.262e-15,2.721e-17,9.284e-16,1.039e-15,2.2999999999999996e-06,0.0,0.0,60.0,0.85
43,0.004601,1.04e-15,1.629e-15,1.629e-15,3.283e-15,2.512e-17,9.284e-16,1.04e-15,2.2999999999999996e-06,0.0,0.0,60.0,0.9
44,0.004892,1.041e-15,1.639e-15,1.639e-15,3.301e-15,2.335e-17,9.284e-16,1.041e-15,2.2999999999999996e-06,0.0,0.0,60.0,0.95
45,0.005145,1.041e-15,1.647e-15,1.647e-15,3.316e-15,2.182e-17,9.284e-16,1.041e-15,2.2999999999999996e-06,0.0,0.0,60.0,1.0
46,0.005365,1.042e-15,1.654e-15,1.654e-15,3.328e-15,2.049e-17,9.284e-16,1.042e-15,2.2999999999999996e-06,0.0,0.0,60.0,1.05
47,0.005555,1.042e-15,1.659e-15,1.659e-15,3.338e-15,1.933e-17,9.284e-16,1.042e-15,2.2999999999999996e-06,0.0,0.0,60.0,1.1
48,0.00572,1.042e-15,1.664e-15,1.664e-15,3.346e-15,1.83e-17,9.284e-16,1.042e-15,2.2999999999999996e-06,0.0,0.0,60.0,1.15
49,0.005861,1.043e-15,1.667e-15,1.667e-15,3.352e-15,1.738e-17,9.284e-16,1.043e-15,2.2999999999999996e-06,0.0,0.0,60.0,1.2
50,6.119e-10,9.284e-16,4.133e-16,4.133e-16,1.276e-15,4.491e-16,9.284e-16,9.284e-16,2.2999999999999996e-06,0.0,0.0,90.0,0.0
51,2.924e-09,9.284e-16,4.18e-16,4.18e-16,1.271e-15,4.352e-16,9.284e-16,9.284e-16,2.2999999999999996e-06,0.0,0.0,90.0,0.05
52,1.409e-08,9.284e-16,4.22e-16,4.22e-16,1.267e-15,4.225e-16,9.284e-16,9.284e-16,2.2999999999999996e-06,0.0,0.0,90.0,0.1
53,6.838e-08,9.286e-16,4.26e-16,4.26e-16,1.263e-15,4.106e-16,9.284e-16,9.286e-16,2.2999999999999996e-06,0.0,0.0,90.0,0.15
54,3.338e-07,9.293e-16,4.341e-16,4.341e-16,1.267e-15,3.987e-16,9.284e-16,9.293e-16,2.2999999999999996e-06,0.0,0.0,90.0,0.2
55,1.632e-06,9.329e-16,4.681e-16,4.681e-16,1.319e-15,3.825e-16,9.284e-16,9.329e-16,2.2999999999999996e-06,0.0,0.0,90.0,0.25
56,7.842e-06,9.488e-16,6.146e-16,6.146e-16,1.575e-15,3.457e-16,9.284e-16,9.488e-16,2.2999999999999996e-06,0.0,0.0,90.0,0.3
57,3.482e-05,9.866e-16,9.772e-16,9.772e-16,2.226e-15,2.713e-16,9.284e-16,9.866e-16,2.2999999999999996e-06,0.0,0.0,90.0,0.35
58,0.0001261,1.026e-15,1.38e-15,1.38e-15,2.955e-15,1.949e-16,9.284e-16,1.026e-15,2.2999999999999996e-06,0.0,0.0,90.0,0.4
59,0.0003339,1.052e-15,1.665e-15,1.665e-15,3.473e-15,1.439e-16,9.284e-16,1.052e-15,2.2999999999999996e-06,0.0,0.0,90.0,0.45
60,0.0006562,1.068e-15,1.851e-15,1.851e-15,3.814e-15,1.119e-16,9.284e-16,1.068e-15,2.2999999999999996e-06,0.0,0.0,90.0,0.5
61,0.00105,1.078e-15,1.977e-15,1.977e-15,4.044e-15,9.101e-17,9.284e-16,1.078e-15,2.2999999999999996e-06,0.0,0.0,90.0,0.55
62,0.001471,1.085e-15,2.065e-15,2.065e-15,4.208e-15,7.656e-17,9.284e-16,1.085e-15,2.2999999999999996e-06,0.0,0.0,90.0,0.6
63,0.00189,1.09e-15,2.131e-15,2.131e-15,4.327e-15,6.608e-17,9.284e-16,1.09e-15,2.2999999999999996e-06,0.0,0.0,90.0,0.65
