,csb,gds,cgs,cgg,cgd,cdb,w,vds,vsb,l,vgs
44,1.053e-15,0.005586,1.611e-15,3.251e-15,1.611e-15,1.053e-15,2.2999999999999996e-06,0.0,0.0,6e-08,0.95
45,1.053e-15,0.005886,1.615e-15,3.256e-15,1.615e-15,1.053e-15,2.2999999999999996e-06,0.0,0.0,6e-08,1.0
46,1.054e-15,0.00615,1.617e-15,3.258e-15,1.617e-15,1.054e-15,2.2999999999999996e-06,0.0,0.0,6e-08,1.05
47,1.054e-15,0.006381,1.617e-15,3.257e-15,1.617e-15,1.054e-15,2.2999999999999996e-06,0.0,0.0,6e-08,1.1
48,1.055e-15,0.006584,1.616e-15,3.255e-15,1.616e-15,1.055e-15,2.2999999999999996e-06,0.0,0.0,6e-08,1.15
49,1.055e-15,0.00676,1.615e-15,3.25e-15,1.615e-15,1.055e-15,2.2999999999999996e-06,0.0,0.0,6e-08,1.2
50,9.427e-16,1.622e-09,3.659e-16,1.186e-15,3.659e-16,9.427e-16,2.2999999999999996e-06,0.0,0.0,9e-08,0.0
51,9.427e-16,8.011e-09,3.687e-16,1.177e-15,3.687e-16,9.427e-16,2.2999999999999996e-06,0.0,0.0,9e-08,0.05
52,9.427e-16,3.981e-08,3.71e-16,1.168e-15,3.71e-16,9.427e-16,2.2999999999999996e-06,0.0,0.0,9e-08,0.1
53,9.428e-16,1.989e-07,3.734e-16,1.161e-15,3.734e-16,9.428e-16,2.2999999999999996e-06,0.0,0.0,9e-08,0.15
54,9.434e-16,9.961e-07,3.799e-16,1.161e-15,3.799e-16,9.434e-16,2.2999999999999996e-06,0.0,0.0,9e-08,0.2
55,9.466e-16,4.935e-06,4.109e-16,1.208e-15,4.109e-16,9.466e-16,2.2999999999999996e-06,0.0,0.0,9e-08,0.25
56,9.602e-16,2.298e-05,5.483e-16,1.45e-15,5.483e-16,9.602e-16,2.2999999999999996e-06,0.0,0.0,9e-08,0.3
57,9.929e-16,8.816e-05,8.938e-16,2.077e-15,8.938e-16,9.929e-16,2.2999999999999996e-06,0.0,0.0,9e-08,0.35
58,1.029e-15,0.0002466,1.3e-15,2.819e-15,1.3e-15,1.029e-15,2.2999999999999996e-06,0.0,0.0,9e-08,0.4
59,1.055e-15,0.0005155,1.61e-15,3.386e-15,1.61e-15,1.055e-15,2.2999999999999996e-06,0.0,0.0,9e-08,0.45
60,1.072e-15,0.0008767,1.82e-15,3.772e-15,1.82e-15,1.072e-15,2.2999999999999996e-06,0.0,0.0,9e-08,0.5
61,1.084e-15,0.001298,1.963e-15,4.034e-15,1.963e-15,1.084e-15,2.2999999999999996e-06,0.0,0.0,9e-08,0.55
62,1.091e-15,0.001749,2.062e-15,4.216e-15,2.062e-15,1.091e-15,2.2999999999999996e-06,0.0,0.0,9e-08,0.6
63,1.097e-15,0.002202,2.132e-15,4.344e-15,2.132e-15,1.097e-15,2.2999999999999996e-06,0.0,0.0,9e-08,0.65
64,1.101e-15,0.002641,2.183e-15,4.435e-15,2.183e-15,1.101e-15,2.2999999999999996e-06,0.0,0.0,9e-08,0.7
65,1.105e-15,0.003054,2.219e-15,4.501e-15,2.219e-15,1.105e-15,2.2999999999999996e-06,0.0,0.0,9e-08,0.75
66,1.107e-15,0.003436,2.246e-15,4.548e-15,2.246e-15,1.107e-15,2.2999999999999996e-06,0.0,0.0,9e-08,0.8
67,1.109e-15,0.003784,2.265e-15,4.581e-15,2.265e-15,1.109e-15,2.2999999999999996e-06,0.0,0.0,9e-08,0.85
68,1.111e-15,0.004098,2.278e-15,4.604e-15,2.278e-15,1.111e-15,2.2999999999999996e-06,0.0,0.0,9e-08,0.9
69,1.112e-15,0.004379,2.287e-15,4.618e-15,2.287e-15,1.112e-15,2.2999999999999996e-06,0.0,0.0,9e-08,0.95
70,1.113e-15,0.004628,2.292e-15,4.626e-15,2.292e-15,1.113e-15,2.2999999999999996e-06,0.0,0.0,9e-08,1.0
71,1.114e-15,0.004849,2.295e-15,4.629e-15,2.295e-15,1.114e-15,2.2999999999999996e-06,0.0,0.0,9e-08,1.05
72,1.115e-15,0.005042,2.296e-15,4.628e-15,2.296e-15,1.115e-15,2.2999999999999996e-06,0.0,0.0,9e-08,1.1
73,1.116e-15,0.00521,2.295e-15,4.624e-15,2.295e-15,1.116e-15,2.2999999999999996e-06,0.0,0.0,9e-08,1.15
74,1.117e-15,0.005356,2.292e-15,4.617e-15,2.292e-15,1.117e-15,2.2999999999999996e-06,0.0,0.0,9e-08,1.2
