,vearly,vdsat,self_gain,region,id,gmoverid,gmbs,gm,gds,ft,csb,cgs,cgd,cdb,vbs,w,l,vsd,vsg,vsdat,cgb,cds
23,0.0,-0.3915,0.0,1.0,4.283e-11,0.0,0.0,0.0,0.005546,0.0,8.212e-16,1.661e-15,1.661e-15,8.212e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.0,1.15,,,
24,0.0,-0.4192,0.0,1.0,5.528e-11,0.0,0.0,0.0,0.00571,0.0,8.215e-16,1.665e-15,1.665e-15,8.215e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.0,1.2,,,
25,0.3199,-0.0844,9.572,0.0,-2.484e-11,29.92,4.945e-11,5.637e-10,5.889e-11,85460.0,7.243e-16,4.133e-16,4.027e-16,6.924e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.1,0.0,,,
26,0.3202,-0.08448,9.606,0.0,-9.024e-11,30.0,2.192e-10,2.528e-09,2.632e-10,381400.0,7.243e-16,4.179e-16,4.081e-16,6.924e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.1,0.05,,,
27,0.3205,-0.08455,9.638,0.0,-3.843e-10,30.07,9.773e-10,1.138e-08,1.18e-09,1709000.0,7.243e-16,4.218e-16,4.133e-16,6.924e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.1,0.1,,,
28,0.3208,-0.08462,9.669,0.0,-1.711e-09,30.14,4.381e-09,5.138e-08,5.314e-09,7692000.0,7.243e-16,4.25e-16,4.179e-16,6.924e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.1,0.15,,,
29,0.3212,-0.08469,9.697,0.0,-7.71e-09,30.19,1.973e-08,2.326e-07,2.399e-08,34720000.0,7.244e-16,4.285e-16,4.218e-16,6.924e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.1,0.2,,,
30,0.3215,-0.08478,9.714,3.0,-3.49e-08,30.21,8.907e-08,1.054e-06,1.085e-07,156200000.0,7.249e-16,4.38e-16,4.248e-16,6.927e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.1,0.25,,,
31,0.322,-0.0849,9.685,3.0,-1.577e-07,30.08,4e-07,4.744e-06,4.898e-07,677400000.0,7.274e-16,4.827e-16,4.275e-16,6.941e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.1,0.3,,,
32,0.3224,-0.08519,9.467,3.0,-7e-07,29.37,1.731e-06,2.056e-05,2.171e-06,2561000000.0,7.374e-16,6.581e-16,4.324e-16,6.998e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.1,0.35,,,
33,0.3201,-0.08619,8.662,3.0,-2.894e-06,27.06,6.586e-06,7.83e-05,9.039e-06,7756000000.0,7.557e-16,9.986e-16,4.518e-16,7.12e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.1,0.4,,,
34,0.2997,-0.08956,6.86,3.0,-1.015e-05,22.89,1.95e-05,0.0002322,3.385e-05,18830000000.0,7.723e-16,1.308e-15,5.284e-16,7.268e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.1,0.45,,,
35,0.2456,-0.09762,4.331,2.0,-2.8e-05,17.63,4.15e-05,0.0004936,0.000114,34220000000.0,7.851e-16,1.493e-15,7.05e-16,7.424e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.1,0.5,,,
36,0.1885,-0.1108,2.378,1.0,-5.934e-05,12.62,6.341e-05,0.0007487,0.0003148,46250000000.0,7.948e-16,1.584e-15,9.174e-16,7.558e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.1,0.55,,,
37,0.1581,-0.1277,1.428,1.0,-0.0001013,9.034,7.876e-05,0.0009148,0.0006406,52370000000.0,8.017e-16,1.63e-15,1.091e-15,7.65e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.1,0.6,,,
38,0.1441,-0.1468,0.9629,1.0,-0.0001493,6.682,8.777e-05,0.0009977,0.001036,54340000000.0,8.064e-16,1.657e-15,1.217e-15,7.711e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.1,0.65,,,
39,0.1355,-0.1674,0.6863,1.0,-0.0001996,5.063,9.101e-05,0.001011,0.001473,53220000000.0,8.097e-16,1.675e-15,1.307e-15,7.752e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.1,0.7,,,
40,0.1293,-0.1892,0.5051,1.0,-0.0002493,3.908,8.974e-05,0.0009741,0.001928,50060000000.0,8.121e-16,1.689e-15,1.374e-15,7.781e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.1,0.75,,,
41,0.1245,-0.2121,0.3817,1.0,-0.0002963,3.067,8.557e-05,0.0009086,0.00238,45860000000.0,8.139e-16,1.698e-15,1.424e-15,7.803e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.1,0.8,,,
42,0.1207,-0.236,0.2952,1.0,-0.0003396,2.444,7.977e-05,0.0008301,0.002812,41330000000.0,8.153e-16,1.706e-15,1.463e-15,7.819e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.1,0.85,,,
43,0.1178,-0.2607,0.2327,1.0,-0.0003788,1.975,7.32e-05,0.0007482,0.003216,36860000000.0,8.164e-16,1.711e-15,1.495e-15,7.831e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.1,0.9,,,
44,0.1155,-0.2861,0.1864,1.0,-0.000414,1.614,6.639e-05,0.0006684,0.003586,32660000000.0,8.173e-16,1.715e-15,1.52e-15,7.841e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.1,0.95,,,
45,0.1135,-0.3121,0.1513,1.0,-0.0004454,1.333,5.967e-05,0.0005935,0.003923,28800000000.0,8.18e-16,1.718e-15,1.54e-15,7.849e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.1,1.0,,,
46,0.1119,-0.3386,0.1241,1.0,-0.0004731,1.109,5.321e-05,0.0005248,0.004227,25330000000.0,8.186e-16,1.72e-15,1.557e-15,7.856e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.1,1.05,,,
47,0.1106,-0.3655,0.1028,1.0,-0.0004976,0.9295,4.708e-05,0.0004625,0.0045,22230000000.0,8.191e-16,1.722e-15,1.571e-15,7.862e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.1,1.1,,,
48,0.1094,-0.3928,0.08572,1.0,-0.0005192,0.7833,4.134e-05,0.0004067,0.004744,19480000000.0,8.196e-16,1.723e-15,1.583e-15,7.866e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.1,1.15,,,
49,0.1085,-0.4204,0.0719,1.0,-0.0005381,0.663,3.599e-05,0.0003567,0.004962,17040000000.0,8.199e-16,1.724e-15,1.593e-15,7.87e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.1,1.2,,,
50,0.5163,-0.08442,15.45,0.0,-3.319e-11,29.92,6.07e-11,7.041e-10,4.558e-11,107800.0,7.243e-16,4.133e-16,3.927e-16,6.649e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.2,0.0,,,
51,0.5157,-0.08449,15.47,0.0,-1.149e-10,30.0,2.69e-10,3.158e-09,2.041e-10,481200.0,7.243e-16,4.179e-16,3.975e-16,6.649e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.2,0.05,,,
52,0.5151,-0.08457,15.49,0.0,-4.822e-10,30.07,1.2e-09,1.421e-08,9.175e-10,2157000.0,7.243e-16,4.218e-16,4.027e-16,6.649e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.2,0.1,,,
53,0.5147,-0.08464,15.51,0.0,-2.139e-09,30.14,5.378e-09,6.418e-08,4.137e-09,9698000.0,7.243e-16,4.25e-16,4.081e-16,6.649e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.2,0.15,,,
54,0.5144,-0.08471,15.53,0.0,-9.633e-09,30.19,2.422e-08,2.906e-07,1.871e-08,43720000.0,7.244e-16,4.285e-16,4.133e-16,6.65e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.2,0.2,,,
55,0.5146,-0.0848,15.54,3.0,-4.358e-08,30.21,1.093e-07,1.316e-06,8.468e-08,196200000.0,7.248e-16,4.381e-16,4.179e-16,6.652e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.2,0.25,,,
56,0.517,-0.08492,15.54,3.0,-1.968e-07,30.05,4.901e-07,5.914e-06,3.807e-07,848800000.0,7.274e-16,4.828e-16,4.218e-16,6.666e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.2,0.3,,,
57,0.5278,-0.08525,15.44,3.0,-8.709e-07,29.26,2.109e-06,2.549e-05,1.65e-06,3192000000.0,7.373e-16,6.586e-16,4.248e-16,6.721e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.2,0.35,,,
58,0.5624,-0.08638,15.1,3.0,-3.572e-06,26.85,7.925e-06,9.591e-05,6.351e-06,9621000000.0,7.552e-16,1.001e-15,4.274e-16,6.834e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.2,0.4,,,
59,0.6287,-0.09009,14.33,3.0,-1.242e-05,22.8,2.332e-05,0.000283,1.975e-05,23890000000.0,7.703e-16,1.322e-15,4.312e-16,6.944e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.2,0.45,,,
60,0.7156,-0.09864,12.88,2.0,-3.445e-05,18.0,5.09e-05,0.00062,4.814e-05,46930000000.0,7.8e-16,1.546e-15,4.432e-16,7.026e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.2,0.5,,,
61,0.7758,-0.1122,10.52,2.0,-7.551e-05,13.56,8.372e-05,0.001024,9.733e-05,71560000000.0,7.868e-16,1.698e-15,4.805e-16,7.098e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.2,0.55,,,
62,0.7505,-0.1293,7.63,2.0,-0.000136,10.17,0.0001127,0.001383,0.0001812,89830000000.0,7.926e-16,1.798e-15,5.669e-16,7.178e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.2,0.6,,,
63,0.6529,-0.1486,5.03,2.0,-0.0002118,7.704,0.0001332,0.001631,0.0003244,98960000000.0,7.979e-16,1.85e-15,7.037e-16,7.263e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.2,0.65,,,
64,0.5437,-0.1693,3.213,2.0,-0.0002968,5.91,0.0001444,0.001754,0.0005459,100300000000.0,8.025e-16,1.865e-15,8.592e-16,7.339e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.2,0.7,,,
65,0.4589,-0.1913,2.106,2.0,-0.000385,4.589,0.0001475,0.001767,0.000839,96580000000.0,8.063e-16,1.861e-15,1.002e-15,7.4e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.2,0.75,,,
